,Sex,Age,Height,Weight,Year,Season,Medal,Team,City,Sport,BMI,Lag
41,M,28.0,175.0,64.0,1948,Summer,Bronze,Finland,London,Gymnastics,20.9,7.0
42,M,28.0,175.0,64.0,1948,Summer,Gold,Finland,London,Gymnastics,20.9,5.0
44,M,28.0,175.0,64.0,1948,Summer,Gold,Finland,London,Gymnastics,20.9,9.0
48,M,28.0,175.0,64.0,1948,Summer,Gold,Finland,London,Gymnastics,20.9,5.0
50,M,32.0,175.0,64.0,1952,Summer,Bronze,Finland,Helsinki,Gymnastics,20.9,7.0
105,F,23.0,182.0,64.0,1996,Summer,Bronze,Norway,Atlanta,Football,19.32,7.0
163,F,22.0,179.0,80.0,2008,Summer,Silver,Russia,Beijing,Athletics,24.97,2.0
178,M,22.0,185.0,82.0,2000,Summer,Gold,Cameroon,Sydney,Football,23.96,7.0
191,M,26.0,182.0,67.0,1984,Summer,Bronze,Spain,Los Angeles,Athletics,20.23,9.0
476,F,21.0,173.0,59.0,1984,Summer,Bronze,Canada,Los Angeles,Swimming,19.71,1.0
609,M,23.0,202.0,104.0,2000,Summer,Gold,United States,Sydney,Basketball,25.49,2.0
620,M,26.0,190.0,125.0,1992,Summer,Gold,Unified Team,Barcelona,Athletics,34.63,9.0
655,M,21.0,160.0,50.0,1992,Summer,Bronze,Ethiopia,Barcelona,Athletics,19.53,1.0
677,F,19.0,160.0,48.0,1972,Summer,Silver,East Germany,Munich,Gymnastics,18.75,9.0
720,M,22.0,166.0,58.0,2000,Summer,Gold,Ethiopia,Sydney,Athletics,21.05,6.0
727,M,19.0,181.0,78.0,1912,Summer,Bronze,Sweden,Stockholm,Athletics,23.81,8.0
728,M,19.0,181.0,78.0,1912,Summer,Silver,Sweden,Stockholm,Athletics,23.81,9.0
747,F,25.0,159.0,40.0,2008,Summer,Silver,Turkey,Beijing,Athletics,15.82,5.0
787,M,19.0,182.0,68.0,1932,Summer,Gold,United States,Los Angeles,Athletics,20.53,0.0
789,M,19.0,161.0,62.0,2012,Summer,Bronze,Russia,London,Gymnastics,23.92,4.0
790,M,19.0,161.0,62.0,2012,Summer,Silver,Russia,London,Gymnastics,23.92,1.0
794,M,24.0,161.0,62.0,2016,Summer,Silver,Russia,Rio de Janeiro,Gymnastics,23.92,1.0
796,M,24.0,161.0,62.0,2016,Summer,Silver,Russia,Rio de Janeiro,Gymnastics,23.92,9.0
797,M,24.0,161.0,62.0,2016,Summer,Bronze,Russia,Rio de Janeiro,Gymnastics,23.92,7.0
803,M,22.0,190.0,78.0,1972,Summer,Silver,Soviet Union,Munich,Swimming,21.61,5.0
804,M,22.0,190.0,78.0,1972,Summer,Bronze,Soviet Union,Munich,Swimming,21.61,3.0
814,M,30.0,197.0,92.0,2016,Summer,Bronze,Australia,Rio de Janeiro,Swimming,23.71,1.0
892,M,21.0,175.0,64.0,1980,Summer,Bronze,Great Britain,Moskva,Swimming,20.9,0.0
915,M,24.0,183.0,75.0,1924,Summer,Gold,Great Britain,Paris,Athletics,22.4,6.0
917,M,24.0,183.0,75.0,1924,Summer,Silver,Great Britain,Paris,Athletics,22.4,2.0
929,M,22.0,172.0,61.0,1920,Summer,Bronze,Sweden,Antwerpen,Athletics,20.62,7.0
1029,M,23.0,198.0,93.0,2016,Summer,Bronze,Spain,Rio de Janeiro,Basketball,23.72,1.0
1035,F,28.0,188.0,77.0,2008,Summer,Bronze,Russia,Beijing,Basketball,21.79,3.0
1089,F,26.0,148.0,46.0,1964,Summer,Bronze,Japan,Tokyo,Gymnastics,21.0,7.0
1121,F,16.0,150.0,40.0,2008,Summer,Bronze,Romania,Beijing,Gymnastics,17.78,2.0
1191,M,18.0,181.0,73.0,1992,Summer,Bronze,Ghana,Barcelona,Football,22.28,10.0
1276,M,20.0,168.0,72.0,2008,Summer,Gold,Argentina,Beijing,Football,25.51,0.0
1388,M,22.0,179.0,78.0,1992,Summer,Silver,Poland,Barcelona,Football,24.34,8.0
1450,M,22.0,188.0,78.0,1912,Summer,Silver,United States,Stockholm,Athletics,22.07,3.0
1451,M,22.0,188.0,78.0,1912,Summer,Bronze,United States,Stockholm,Athletics,22.07,3.0
1511,M,27.0,188.0,78.0,1912,Summer,Gold,United States,Stockholm,Athletics,22.07,8.0
1512,M,27.0,188.0,78.0,1912,Summer,Silver,United States,Stockholm,Athletics,22.07,8.0
1527,F,23.0,193.0,120.0,2008,Summer,Gold,New Zealand,Beijing,Athletics,32.22,8.0
1528,F,27.0,193.0,120.0,2012,Summer,Gold,New Zealand,London,Athletics,32.22,1.0
1529,F,31.0,193.0,120.0,2016,Summer,Silver,New Zealand,Rio de Janeiro,Athletics,32.22,2.0
1579,M,17.0,180.0,79.0,1992,Summer,Bronze,Ghana,Barcelona,Football,24.38,6.0
1617,M,22.0,181.0,82.0,2008,Summer,Silver,Nigeria,Beijing,Football,25.03,6.0
1637,M,19.0,190.0,80.0,2008,Summer,Silver,Nigeria,Beijing,Football,22.16,3.0
1651,M,24.0,179.0,74.0,1984,Summer,Silver,Brazil,Los Angeles,Football,23.1,4.0
1652,M,28.0,179.0,74.0,1988,Summer,Silver,Brazil,Seoul,Football,23.1,4.0
1665,M,22.0,186.0,78.0,1992,Summer,Silver,Nigeria,Barcelona,Athletics,22.55,3.0
1728,M,26.0,188.0,80.0,1996,Summer,Gold,United States,Atlanta,Athletics,22.63,9.0
1772,F,19.0,179.0,70.0,2008,Summer,Gold,Great Britain,Beijing,Swimming,21.85,9.0
1773,F,19.0,179.0,70.0,2008,Summer,Gold,Great Britain,Beijing,Swimming,21.85,0.0
1774,F,23.0,179.0,70.0,2012,Summer,Bronze,Great Britain,London,Swimming,21.85,4.0
1775,F,23.0,179.0,70.0,2012,Summer,Bronze,Great Britain,London,Swimming,21.85,2.0
1807,M,26.0,202.0,100.0,2000,Summer,Bronze,Lithuania,Sydney,Basketball,24.51,6.0
1843,M,19.0,198.0,100.0,2008,Summer,Gold,United States,Beijing,Swimming,25.51,6.0
1844,M,23.0,198.0,100.0,2012,Summer,Gold,United States,London,Swimming,25.51,8.0
1845,M,23.0,198.0,100.0,2012,Summer,Silver,United States,London,Swimming,25.51,8.0
1846,M,23.0,198.0,100.0,2012,Summer,Gold,United States,London,Swimming,25.51,9.0
1847,M,27.0,198.0,100.0,2016,Summer,Bronze,United States,Rio de Janeiro,Swimming,25.51,8.0
1848,M,27.0,198.0,100.0,2016,Summer,Bronze,United States,Rio de Janeiro,Swimming,25.51,7.0
1849,M,27.0,198.0,100.0,2016,Summer,Gold,United States,Rio de Janeiro,Swimming,25.51,1.0
1850,M,27.0,198.0,100.0,2016,Summer,Gold,United States,Rio de Janeiro,Swimming,25.51,0.0
1856,F,25.0,180.0,61.0,1996,Summer,Silver,Brazil,Atlanta,Basketball,18.83,0.0
1857,F,29.0,180.0,61.0,2000,Summer,Bronze,Brazil,Sydney,Basketball,18.83,2.0
1863,F,21.0,170.0,65.0,2000,Summer,Bronze,Brazil,Sydney,Basketball,22.49,2.0
1942,F,20.0,158.0,48.0,2012,Summer,Silver,Russia,London,Gymnastics,19.23,7.0
1968,F,20.0,180.0,62.0,1996,Summer,Silver,Nigeria,Atlanta,Athletics,19.14,5.0
2005,F,16.0,148.0,40.0,1984,Summer,Gold,Romania,Los Angeles,Gymnastics,18.26,11.0
2007,F,16.0,148.0,40.0,1984,Summer,Bronze,Romania,Los Angeles,Gymnastics,18.26,6.0
2110,M,20.0,202.0,90.0,2012,Summer,Gold,France,London,Swimming,22.06,6.0
2111,M,20.0,202.0,90.0,2012,Summer,Gold,France,London,Swimming,22.06,6.0
2112,M,20.0,202.0,90.0,2012,Summer,Silver,France,London,Swimming,22.06,6.0
2183,M,20.0,172.0,74.0,2008,Summer,Gold,Argentina,Beijing,Football,25.01,7.0
2288,M,26.0,172.0,64.0,1992,Summer,Bronze,Cuba,Barcelona,Athletics,21.63,9.0
2367,M,22.0,170.0,57.0,1908,Summer,Gold,Great Britain,London,Athletics,19.72,8.0
2462,M,23.0,176.0,64.0,1948,Summer,Gold,Sweden,London,Athletics,20.66,2.0
2466,F,22.0,172.0,52.0,1992,Summer,Gold,United States,Barcelona,Swimming,17.58,4.0
2467,F,22.0,172.0,52.0,1992,Summer,Silver,United States,Barcelona,Swimming,17.58,2.0
2468,F,22.0,172.0,52.0,1992,Summer,Gold,United States,Barcelona,Swimming,17.58,1.0
2584,F,23.0,176.0,70.0,1956,Summer,Silver,Chile,Melbourne,Athletics,22.6,7.0
2645,M,21.0,154.0,53.0,1956,Summer,Silver,Japan,Melbourne,Gymnastics,22.35,0.0
2646,M,21.0,154.0,53.0,1956,Summer,Silver,Japan,Melbourne,Gymnastics,22.35,1.0
2653,M,25.0,154.0,53.0,1960,Summer,Gold,Japan,Roma,Gymnastics,22.35,2.0
2654,M,25.0,154.0,53.0,1960,Summer,Gold,Japan,Roma,Gymnastics,22.35,7.0
2663,M,21.0,156.0,55.0,1992,Summer,Bronze,Japan,Barcelona,Gymnastics,22.6,7.0
2795,M,20.0,172.0,79.0,2016,Summer,Bronze,Nigeria,Rio de Janeiro,Football,26.7,2.0
2802,M,23.0,185.0,75.0,2008,Summer,Silver,Nigeria,Beijing,Football,21.91,7.0
2810,M,20.0,180.0,62.0,2016,Summer,Bronze,Canada,Rio de Janeiro,Athletics,19.14,4.0
2815,F,24.0,164.0,57.0,1996,Summer,Gold,Nigeria,Atlanta,Athletics,21.19,1.0
2826,M,25.0,185.0,81.0,1984,Summer,Silver,Great Britain,Los Angeles,Athletics,23.67,0.0
2829,M,33.0,185.0,81.0,1992,Summer,Bronze,Great Britain,Barcelona,Athletics,23.67,0.0
2830,M,33.0,185.0,81.0,1992,Summer,Bronze,Great Britain,Barcelona,Athletics,23.67,1.0
2911,F,30.0,178.0,68.0,1996,Summer,Gold,United States,Atlanta,Football,21.46,4.0
3005,M,22.0,188.0,77.0,1972,Summer,Gold,Uganda,Munich,Athletics,21.79,1.0
3020,F,22.0,163.0,61.0,2016,Summer,Gold,United States,Rio de Janeiro,Athletics,22.96,2.0
3070,M,30.0,187.0,80.0,2016,Summer,Bronze,Nigeria,Rio de Janeiro,Football,22.88,4.0
3101,F,29.0,165.0,58.0,1976,Summer,Bronze,Soviet Union,Montreal,Athletics,21.3,1.0
3104,M,21.0,173.0,67.0,1976,Summer,Bronze,Soviet Union,Montreal,Athletics,22.39,1.0
3106,M,25.0,173.0,67.0,1980,Summer,Gold,Soviet Union,Moskva,Athletics,22.39,7.0
3126,F,17.0,174.0,62.0,1980,Summer,Bronze,Soviet Union,Moskva,Swimming,20.48,6.0
3772,M,23.0,191.0,72.0,2000,Summer,Silver,Saudi Arabia,Sydney,Athletics,19.74,9.0
3836,M,33.0,176.0,74.0,1964,Summer,Silver,Soviet Union,Tokyo,Basketball,23.89,9.0
3911,M,25.0,190.0,81.0,1992,Summer,Silver,Croatia,Barcelona,Basketball,22.44,2.0
4002,M,23.0,182.0,75.0,2000,Summer,Silver,Spain,Sydney,Football,22.64,7.0
4025,M,18.0,182.0,75.0,1960,Summer,Bronze,Hungary,Roma,Football,22.64,7.0
4078,M,26.0,177.0,67.0,1948,Summer,Bronze,Sweden,London,Athletics,21.39,3.0
4158,M,23.0,191.0,79.0,1936,Summer,Silver,United States,Berlin,Athletics,21.66,9.0
4226,M,30.0,183.0,76.0,1996,Summer,Bronze,Brazil,Atlanta,Football,22.69,1.0
4268,M,22.0,177.0,75.0,1928,Summer,Gold,United States,Amsterdam,Athletics,23.94,0.0
4273,F,17.0,170.0,59.0,1952,Summer,Bronze,United States,Helsinki,Swimming,20.42,5.0
4326,M,28.0,200.0,130.0,2000,Summer,Gold,Lithuania,Sydney,Athletics,32.5,0.0
4327,M,32.0,200.0,130.0,2004,Summer,Gold,Lithuania,Athina,Athletics,32.5,9.0
4328,M,36.0,200.0,130.0,2008,Summer,Bronze,Lithuania,Beijing,Athletics,32.5,2.0
4457,F,22.0,200.0,85.0,1996,Summer,Silver,Brazil,Atlanta,Basketball,21.25,7.0
4458,F,26.0,200.0,85.0,2000,Summer,Bronze,Brazil,Sydney,Basketball,21.25,7.0
4482,M,21.0,177.0,60.0,2012,Summer,Silver,Brazil,London,Football,19.15,0.0
4561,M,18.0,179.0,71.0,2008,Summer,Bronze,Brazil,Beijing,Football,22.16,1.0
4562,M,22.0,179.0,71.0,2012,Summer,Silver,Brazil,London,Football,22.16,1.0
4600,F,30.0,170.0,62.0,1976,Summer,Bronze,Soviet Union,Montreal,Athletics,21.45,7.0
4612,M,19.0,178.0,69.0,1992,Summer,Gold,Spain,Barcelona,Football,21.78,5.0
4623,M,19.0,185.0,74.0,1984,Summer,Gold,United States,Los Angeles,Basketball,21.62,1.0
4642,M,23.0,183.0,77.0,1948,Summer,Bronze,Brazil,London,Basketball,22.99,7.0
4645,M,35.0,183.0,77.0,1960,Summer,Bronze,Brazil,Roma,Basketball,22.99,2.0
4727,F,27.0,170.0,65.0,2016,Summer,Silver,United States,Rio de Janeiro,Athletics,22.49,8.0
4753,M,17.0,180.0,69.0,1920,Summer,Silver,France,Antwerpen,Athletics,21.3,0.0
4805,F,22.0,180.0,71.0,2004,Summer,Silver,Brazil,Athina,Football,21.91,10.0
4832,M,28.0,187.0,75.0,2004,Summer,Bronze,Nigeria,Athina,Athletics,21.45,10.0
5031,M,25.0,192.0,93.0,2000,Summer,Gold,United States,Sydney,Basketball,25.23,3.0
5075,M,23.0,180.0,73.0,2012,Summer,Bronze,Trinidad and Tobago,London,Athletics,22.53,1.0
5147,F,15.0,163.0,59.0,1964,Summer,Gold,United States,Tokyo,Swimming,22.21,0.0
5178,M,31.0,170.0,63.0,1920,Summer,Bronze,Sweden,Antwerpen,Athletics,21.8,9.0
5281,M,22.0,173.0,70.0,1996,Summer,Silver,Argentina,Atlanta,Football,23.39,8.0
5296,M,20.0,188.0,73.0,1912,Summer,Bronze,Sweden,Stockholm,Athletics,20.65,1.0
5297,M,28.0,188.0,73.0,1920,Summer,Bronze,Sweden,Antwerpen,Athletics,20.65,1.0
5317,M,28.0,182.0,70.0,1948,Summer,Bronze,Sweden,London,Athletics,21.13,3.0
5318,M,20.0,180.0,80.0,2000,Summer,Gold,Cameroon,Sydney,Football,24.69,6.0
5323,M,25.0,182.0,74.0,1988,Summer,Silver,Brazil,Seoul,Football,22.34,2.0
5389,F,22.0,155.0,51.0,2000,Summer,Silver,Nigeria,Sydney,Athletics,21.23,4.0
5434,F,23.0,180.0,64.0,2000,Summer,Silver,Sweden,Sydney,Swimming,19.75,7.0
5435,F,23.0,180.0,64.0,2000,Summer,Silver,Sweden,Sydney,Swimming,19.75,1.0
5436,F,23.0,180.0,64.0,2000,Summer,Bronze,Sweden,Sydney,Swimming,19.75,1.0
5493,M,18.0,177.0,70.0,1912,Summer,Bronze,Italy,Stockholm,Athletics,22.34,9.0
5562,M,20.0,173.0,62.0,2000,Summer,Bronze,Chile,Sydney,Football,20.72,1.0
5608,M,22.0,198.0,97.0,1972,Summer,Bronze,Cuba,Munich,Basketball,24.74,7.0
5771,M,21.0,166.0,63.0,2000,Summer,Bronze,Russia,Sydney,Gymnastics,22.86,7.0
5823,F,16.0,158.0,44.0,1996,Summer,Bronze,Romania,Atlanta,Gymnastics,17.63,1.0
5824,F,16.0,158.0,44.0,1996,Summer,Bronze,Romania,Atlanta,Gymnastics,17.63,12.0
5825,F,16.0,158.0,44.0,1996,Summer,Silver,Romania,Atlanta,Gymnastics,17.63,12.0
5826,F,16.0,158.0,44.0,1996,Summer,Gold,Romania,Atlanta,Gymnastics,17.63,12.0
5829,F,20.0,158.0,44.0,2000,Summer,Gold,Romania,Sydney,Gymnastics,17.63,12.0
5830,F,20.0,158.0,44.0,2000,Summer,Gold,Romania,Sydney,Gymnastics,17.63,4.0
5831,F,20.0,158.0,44.0,2000,Summer,Bronze,Romania,Sydney,Gymnastics,17.63,4.0
5860,M,23.0,170.0,67.0,1996,Summer,Bronze,Brazil,Atlanta,Football,23.18,4.0
5932,M,24.0,190.0,90.0,1960,Summer,Bronze,Brazil,Roma,Basketball,24.93,7.0
5933,M,28.0,190.0,90.0,1964,Summer,Bronze,Brazil,Tokyo,Basketball,24.93,7.0
5934,M,21.0,182.0,68.0,1992,Summer,Gold,Spain,Barcelona,Football,20.53,4.0
5937,M,22.0,188.0,85.0,2000,Summer,Silver,Spain,Sydney,Football,24.05,2.0
5986,M,19.0,187.0,70.0,2008,Summer,Silver,Nigeria,Beijing,Football,20.02,1.0
6206,M,23.0,182.0,78.0,1996,Summer,Gold,Nigeria,Atlanta,Football,23.55,0.0
6220,F,24.0,163.0,55.0,1964,Summer,Bronze,Australia,Tokyo,Athletics,20.7,0.0
6260,M,18.0,179.0,60.0,2012,Summer,Silver,Botswana,London,Athletics,18.73,6.0
6338,F,19.0,183.0,70.0,1976,Summer,Bronze,Canada,Montreal,Swimming,20.9,9.0
6354,M,25.0,176.0,70.0,1996,Summer,Gold,Nigeria,Atlanta,Football,22.6,2.0
6356,M,20.0,171.0,85.0,2016,Summer,Bronze,Nigeria,Rio de Janeiro,Football,29.07,9.0
6542,M,26.0,178.0,77.0,1972,Summer,Gold,Poland,Munich,Football,24.3,1.0
6599,F,23.0,168.0,56.0,1996,Summer,Bronze,Norway,Atlanta,Football,19.84,0.0
6724,F,23.0,173.0,60.0,1996,Summer,Bronze,Norway,Atlanta,Football,20.05,7.0
6725,M,28.0,178.0,70.0,1928,Summer,Bronze,Finland,Amsterdam,Athletics,22.09,7.0
6733,M,30.0,173.0,73.0,1960,Summer,Silver,Denmark,Roma,Football,24.39,2.0
6757,F,30.0,172.0,53.0,1984,Summer,Silver,Norway,Los Angeles,Athletics,17.92,4.0
6759,M,20.0,176.0,77.0,2008,Summer,Bronze,Brazil,Beijing,Football,24.86,2.0
6763,F,21.0,173.0,64.0,2012,Summer,Gold,United States,London,Swimming,21.38,8.0
6764,F,22.0,164.0,61.0,2000,Summer,Gold,United States,Sydney,Athletics,22.68,1.0
6807,F,20.0,178.0,68.0,2012,Summer,Silver,United States,London,Swimming,21.46,10.0
6827,M,25.0,191.0,97.0,1932,Summer,Gold,United States,Los Angeles,Athletics,26.59,7.0
6876,M,22.0,190.0,77.0,1928,Summer,Silver,United States,Amsterdam,Athletics,21.33,1.0
6896,M,21.0,200.0,86.0,1988,Summer,Bronze,United States,Seoul,Basketball,21.5,1.0
6996,M,22.0,172.0,63.0,1912,Summer,Silver,Sweden,Stockholm,Athletics,21.3,7.0
6997,M,22.0,172.0,63.0,1912,Summer,Gold,Sweden,Stockholm,Athletics,21.3,0.0
7014,F,23.0,167.0,61.0,2016,Summer,Silver,Sweden,Rio de Janeiro,Football,21.87,0.0
7186,F,30.0,164.0,57.0,2012,Summer,Silver,Japan,London,Football,21.19,1.0
7208,M,31.0,170.0,72.0,1988,Summer,Silver,Brazil,Seoul,Football,24.91,10.0
7222,M,22.0,179.0,77.0,1924,Summer,Gold,Uruguay,Paris,Football,24.03,2.0
7223,M,26.0,179.0,77.0,1928,Summer,Gold,Uruguay,Amsterdam,Football,24.03,2.0
7244,M,21.0,183.0,79.0,1996,Summer,Bronze,Brazil,Atlanta,Football,23.59,2.0
7251,M,18.0,188.0,85.0,1908,Summer,Silver,France,London,Athletics,24.05,0.0
7261,M,30.0,188.0,85.0,1920,Summer,Bronze,France,Antwerpen,Athletics,24.05,7.0
7276,M,24.0,180.0,82.0,1984,Summer,Silver,Brazil,Los Angeles,Football,25.31,4.0
7316,M,25.0,191.0,118.0,1984,Summer,Gold,Italy,Los Angeles,Athletics,32.35,0.0
7329,F,26.0,175.0,65.0,2004,Summer,Silver,Brazil,Athina,Football,21.22,6.0
7330,F,30.0,175.0,65.0,2008,Summer,Silver,Brazil,Beijing,Football,21.22,1.0
7411,F,16.0,162.0,54.0,1960,Summer,Bronze,Australia,Roma,Swimming,20.58,0.0
7412,F,16.0,162.0,54.0,1960,Summer,Silver,Australia,Roma,Swimming,20.58,9.0
7440,F,21.0,167.0,62.0,1984,Summer,Gold,United States,Los Angeles,Swimming,22.23,0.0
7441,F,21.0,167.0,62.0,1984,Summer,Gold,United States,Los Angeles,Swimming,22.23,0.0
7462,M,24.0,173.0,70.0,1980,Summer,Bronze,Soviet Union,Moskva,Football,23.39,7.0
7467,M,23.0,215.0,90.0,1968,Summer,Bronze,Soviet Union,Mexico City,Basketball,19.47,8.0
7478,M,34.0,170.0,58.0,2000,Summer,Bronze,Russia,Sydney,Athletics,20.07,11.0
7511,M,19.0,166.0,60.0,1972,Summer,Silver,Soviet Union,Munich,Gymnastics,21.77,9.0
7512,M,19.0,166.0,60.0,1972,Summer,Gold,Soviet Union,Munich,Gymnastics,21.77,1.0
7513,M,19.0,166.0,60.0,1972,Summer,Bronze,Soviet Union,Munich,Gymnastics,21.77,9.0
7518,M,23.0,166.0,60.0,1976,Summer,Gold,Soviet Union,Montreal,Gymnastics,21.77,9.0
7519,M,23.0,166.0,60.0,1976,Summer,Silver,Soviet Union,Montreal,Gymnastics,21.77,2.0
7520,M,23.0,166.0,60.0,1976,Summer,Gold,Soviet Union,Montreal,Gymnastics,21.77,7.0
7521,M,23.0,166.0,60.0,1976,Summer,Gold,Soviet Union,Montreal,Gymnastics,21.77,7.0
7522,M,23.0,166.0,60.0,1976,Summer,Silver,Soviet Union,Montreal,Gymnastics,21.77,4.0
7524,M,23.0,166.0,60.0,1976,Summer,Gold,Soviet Union,Montreal,Gymnastics,21.77,9.0
7525,M,23.0,166.0,60.0,1976,Summer,Bronze,Soviet Union,Montreal,Gymnastics,21.77,9.0
7526,M,27.0,166.0,60.0,1980,Summer,Silver,Soviet Union,Moskva,Gymnastics,21.77,6.0
7527,M,27.0,166.0,60.0,1980,Summer,Gold,Soviet Union,Moskva,Gymnastics,21.77,1.0
7528,M,27.0,166.0,60.0,1980,Summer,Silver,Soviet Union,Moskva,Gymnastics,21.77,4.0
7529,M,27.0,166.0,60.0,1980,Summer,Gold,Soviet Union,Moskva,Gymnastics,21.77,7.0
7531,M,27.0,166.0,60.0,1980,Summer,Bronze,Soviet Union,Moskva,Gymnastics,21.77,7.0
7537,M,25.0,174.0,70.0,1972,Summer,Bronze,Soviet Union,Munich,Football,23.12,5.0
7775,F,29.0,174.0,70.0,2008,Summer,Bronze,Germany,Beijing,Football,23.12,9.0
7865,M,23.0,175.0,70.0,2000,Summer,Silver,Spain,Sydney,Football,22.86,7.0
7889,M,20.0,192.0,94.0,2008,Summer,Silver,Nigeria,Beijing,Football,25.5,9.0
7927,F,26.0,172.0,65.0,1976,Summer,Silver,Soviet Union,Montreal,Athletics,21.97,2.0
7930,F,24.0,167.0,52.0,1976,Summer,Bronze,Soviet Union,Montreal,Athletics,18.65,9.0
7932,F,28.0,167.0,52.0,1980,Summer,Silver,Soviet Union,Moskva,Athletics,18.65,0.0
7948,F,18.0,160.0,52.0,1976,Summer,Gold,East Germany,Montreal,Swimming,20.31,8.0
7950,F,18.0,160.0,52.0,1976,Summer,Gold,East Germany,Montreal,Swimming,20.31,1.0
7968,M,23.0,177.0,79.0,1960,Summer,Gold,Yugoslavia,Roma,Football,25.22,4.0
8131,F,27.0,164.0,66.0,1964,Summer,Silver,Hungary,Tokyo,Athletics,24.54,2.0
8164,M,20.0,203.0,109.0,2004,Summer,Bronze,United States,Athina,Basketball,26.45,1.0
8165,M,24.0,203.0,109.0,2008,Summer,Gold,United States,Beijing,Basketball,26.45,7.0
8166,M,28.0,203.0,109.0,2012,Summer,Gold,United States,London,Basketball,26.45,7.0
8167,M,32.0,203.0,109.0,2016,Summer,Gold,United States,Rio de Janeiro,Basketball,26.45,2.0
8189,M,26.0,170.0,52.0,1988,Summer,Silver,Italy,Seoul,Athletics,17.99,0.0
8303,M,23.0,202.0,97.0,2012,Summer,Bronze,Russia,London,Basketball,23.77,9.0
8316,F,36.0,180.0,95.0,2008,Summer,Bronze,Ukraine,Beijing,Athletics,29.32,4.0
8380,F,23.0,182.0,69.0,2004,Summer,Bronze,Russia,Athina,Athletics,20.83,8.0
8381,F,23.0,182.0,69.0,2004,Summer,Silver,Russia,Athina,Athletics,20.83,0.0
8382,F,31.0,182.0,69.0,2012,Summer,Gold,Russia,London,Athletics,20.83,12.0
8383,F,31.0,182.0,69.0,2012,Summer,Silver,Russia,London,Athletics,20.83,0.0
8395,M,26.0,167.0,63.0,1952,Summer,Bronze,Soviet Union,Helsinki,Athletics,22.59,6.0
8449,F,19.0,164.0,63.0,1972,Summer,Gold,Japan,Munich,Swimming,23.42,1.0
8475,M,24.0,175.0,58.0,1984,Summer,Gold,Morocco,Los Angeles,Athletics,18.94,1.0
8476,M,28.0,175.0,58.0,1988,Summer,Bronze,Morocco,Seoul,Athletics,18.94,3.0
8491,M,22.0,184.0,120.0,2004,Summer,Bronze,Turkey,Athina,Athletics,35.44,2.0
8496,M,21.0,180.0,79.0,2008,Summer,Silver,Nigeria,Beijing,Football,24.38,2.0
8605,F,26.0,168.0,65.0,2016,Summer,Silver,Sweden,Rio de Janeiro,Football,23.03,2.0
8626,M,21.0,170.0,59.0,1912,Summer,Bronze,Great Britain,Stockholm,Athletics,20.42,0.0
8627,M,21.0,170.0,59.0,1912,Summer,Gold,Great Britain,Stockholm,Athletics,20.42,4.0
8661,M,22.0,165.0,62.0,2012,Summer,Gold,Mexico,London,Football,22.77,7.0
8703,M,28.0,180.0,62.0,2016,Summer,Bronze,Japan,Rio de Janeiro,Athletics,19.14,6.0
8826,M,20.0,184.0,75.0,2000,Summer,Silver,Spain,Sydney,Football,22.15,4.0
8834,M,23.0,211.0,120.0,1988,Summer,Silver,Yugoslavia,Seoul,Basketball,26.95,9.0
8835,M,27.0,211.0,120.0,1992,Summer,Silver,Croatia,Barcelona,Basketball,26.95,0.0
8927,F,21.0,178.0,68.0,1988,Summer,Silver,Yugoslavia,Seoul,Basketball,21.46,3.0
8940,M,23.0,204.0,96.0,1984,Summer,Silver,Spain,Los Angeles,Basketball,23.07,6.0
8964,M,24.0,182.0,77.0,1908,Summer,Bronze,Canada,London,Athletics,23.25,6.0
9004,F,22.0,167.0,60.0,1964,Summer,Bronze,Great Britain,Tokyo,Athletics,21.51,1.0
9211,F,25.0,166.0,47.0,1992,Summer,Silver,Japan,Barcelona,Athletics,17.06,0.0
9212,F,29.0,166.0,47.0,1996,Summer,Bronze,Japan,Atlanta,Athletics,17.06,0.0
9274,F,31.0,176.0,63.0,2004,Summer,Bronze,Russia,Athina,Basketball,20.34,1.0
9285,M,23.0,178.0,65.0,1980,Summer,Silver,Soviet Union,Moskva,Athletics,20.52,8.0
9357,F,19.0,171.0,64.0,1952,Summer,Bronze,Great Britain,Helsinki,Athletics,21.89,7.0
9360,F,23.0,171.0,64.0,1956,Summer,Silver,Great Britain,Melbourne,Athletics,21.89,0.0
9374,M,24.0,187.0,76.0,1984,Summer,Gold,United States,Los Angeles,Athletics,21.73,8.0
9376,M,30.0,173.0,70.0,2008,Summer,Gold,Trinidad and Tobago,Beijing,Athletics,23.39,9.0
9394,M,20.0,187.0,74.0,1988,Summer,Gold,Australia,Seoul,Swimming,21.16,
9395,M,20.0,187.0,74.0,1988,Summer,Silver,Australia,Seoul,Swimming,21.16,
9398,M,27.0,190.0,125.0,2008,Summer,Bronze,Canada,Beijing,Athletics,34.63,
9432,M,20.0,190.0,77.0,1976,Summer,Gold,United States,Montreal,Basketball,21.33,
9501,M,21.0,188.0,79.0,1960,Summer,Gold,United States,Roma,Basketball,22.35,
9682,F,30.0,177.0,64.0,2004,Summer,Bronze,France,Athina,Athletics,20.43,
9714,M,23.0,169.0,64.0,2000,Summer,Bronze,Chile,Sydney,Football,22.41,
9722,F,18.0,178.0,69.0,2000,Summer,Gold,United States,Sydney,Swimming,21.78,
