,Sex,Age,Height,Weight,Year,Season,Medal,Team,City,Sport,BMI,Lag
44056,M,25.0,183.0,106.0,1956,Summer,Gold,United States,Melbourne,Athletics,31.65,
44061,M,24.0,172.0,61.0,1924,Summer,Bronze,United States,Paris,Athletics,20.62,
44062,M,27.0,175.0,72.0,1896,Summer,Silver,United States,Athina,Athletics,23.51,
44063,M,27.0,175.0,72.0,1896,Summer,Bronze,United States,Athina,Athletics,23.51,
44064,M,27.0,175.0,72.0,1896,Summer,Gold,United States,Athina,Athletics,23.51,
44065,M,31.0,175.0,72.0,1900,Summer,Silver,United States,Paris,Athletics,23.51,
44081,M,26.0,186.0,78.0,1984,Summer,Bronze,Great Britain,Los Angeles,Athletics,22.55,
44099,M,28.0,187.0,80.0,2004,Summer,Silver,Germany,Athina,Swimming,22.88,
44125,M,31.0,183.0,100.0,1948,Summer,Gold,Italy,London,Athletics,29.86,
44126,M,35.0,183.0,100.0,1952,Summer,Silver,Italy,Helsinki,Athletics,29.86,
44150,F,15.0,160.0,46.0,1976,Summer,Silver,Romania,Montreal,Gymnastics,17.97,
44229,M,22.0,180.0,77.0,2000,Summer,Bronze,Chile,Sydney,Football,23.77,
44250,M,21.0,183.0,68.0,1988,Summer,Silver,United States,Seoul,Athletics,20.31,
44251,M,25.0,183.0,68.0,1992,Summer,Bronze,United States,Barcelona,Athletics,20.31,
44297,M,19.0,178.0,66.0,1908,Summer,Gold,United States,London,Athletics,20.83,
44303,M,26.0,185.0,72.0,1984,Summer,Silver,Great Britain,Los Angeles,Athletics,21.04,
44313,F,26.0,168.0,55.0,1928,Summer,Gold,Canada,Amsterdam,Athletics,19.49,
44336,F,17.0,170.0,61.0,2016,Summer,Silver,Australia,Rio de Janeiro,Swimming,21.11,
44352,F,19.0,175.0,64.0,1976,Summer,Bronze,Canada,Montreal,Swimming,20.9,
44353,F,23.0,178.0,69.0,1996,Summer,Bronze,Australia,Atlanta,Basketball,21.78,
44354,F,31.0,178.0,69.0,2004,Summer,Silver,Australia,Athina,Basketball,21.78,
44442,M,18.0,160.0,72.0,1972,Summer,Gold,Australia,Munich,Swimming,28.12,
44455,F,25.0,178.0,68.0,1988,Summer,Gold,United States,Seoul,Basketball,21.46,
44456,F,29.0,178.0,68.0,1992,Summer,Bronze,United States,Barcelona,Basketball,21.46,
44481,M,23.0,188.0,85.0,1964,Summer,Silver,Great Britain,Tokyo,Athletics,24.05,
44482,M,23.0,188.0,85.0,1964,Summer,Silver,Great Britain,Tokyo,Athletics,24.05,
44562,F,25.0,177.0,63.0,2004,Summer,Silver,United States,Athina,Swimming,20.11,
44571,F,23.0,165.0,59.0,1928,Summer,Silver,United States,Amsterdam,Athletics,21.67,
44572,F,27.0,165.0,59.0,1932,Summer,Gold,United States,Los Angeles,Athletics,21.67,
44576,M,29.0,191.0,85.0,2016,Summer,Bronze,Turkey,Rio de Janeiro,Athletics,23.3,
44656,M,29.0,182.0,84.0,1984,Summer,Silver,Spain,Los Angeles,Basketball,25.36,
44713,M,22.0,196.0,88.0,2016,Summer,Gold,United States,Rio de Janeiro,Swimming,22.91,
44829,M,22.0,182.0,70.0,1932,Summer,Silver,Great Britain,Los Angeles,Athletics,21.13,
44879,M,30.0,188.0,83.0,2012,Summer,Gold,Mexico,London,Football,23.48,
44941,F,22.0,175.0,61.0,2004,Summer,Silver,United States,Athina,Swimming,19.92,
44972,F,13.0,157.0,45.0,1976,Summer,Bronze,Canada,Montreal,Swimming,18.26,
44976,M,22.0,195.0,109.0,1928,Summer,Bronze,United States,Amsterdam,Athletics,28.67,
44977,F,18.0,167.0,60.0,1968,Summer,Bronze,Canada,Mexico City,Swimming,21.51,
45000,M,23.0,171.0,70.0,2012,Summer,Gold,Mexico,London,Football,23.94,
45051,M,22.0,177.0,68.0,1928,Summer,Silver,Germany,Amsterdam,Athletics,21.71,
45079,M,19.0,209.0,94.0,1968,Summer,Silver,Yugoslavia,Mexico City,Basketball,21.52,
45081,M,27.0,209.0,94.0,1976,Summer,Silver,Yugoslavia,Montreal,Basketball,21.52,
45082,M,31.0,209.0,94.0,1980,Summer,Gold,Yugoslavia,Moskva,Basketball,21.52,
45152,M,22.0,187.0,94.0,1952,Summer,Bronze,Uruguay,Helsinki,Basketball,26.88,
45153,M,27.0,187.0,94.0,1956,Summer,Bronze,Uruguay,Melbourne,Basketball,26.88,
45273,F,27.0,182.0,84.0,1992,Summer,Bronze,Australia,Barcelona,Athletics,25.36,
45354,M,23.0,167.0,59.0,1912,Summer,Bronze,Great Britain,Stockholm,Athletics,21.16,
45356,M,23.0,167.0,59.0,1912,Summer,Bronze,Great Britain,Stockholm,Athletics,21.16,
45396,F,16.0,168.0,59.0,1968,Summer,Bronze,Canada,Mexico City,Swimming,20.9,
45404,F,21.0,173.0,63.0,2004,Summer,Bronze,United States,Athina,Swimming,21.05,
45405,F,21.0,173.0,63.0,2004,Summer,Silver,United States,Athina,Swimming,21.05,
45406,F,21.0,173.0,63.0,2004,Summer,Gold,United States,Athina,Swimming,21.05,
45407,F,21.0,173.0,63.0,2004,Summer,Gold,United States,Athina,Swimming,21.05,
45408,F,21.0,173.0,63.0,2004,Summer,Silver,United States,Athina,Swimming,21.05,
45409,F,25.0,173.0,63.0,2008,Summer,Bronze,United States,Beijing,Swimming,21.05,
45410,F,25.0,173.0,63.0,2008,Summer,Silver,United States,Beijing,Swimming,21.05,
45411,F,25.0,173.0,63.0,2008,Summer,Bronze,United States,Beijing,Swimming,21.05,
45412,F,25.0,173.0,63.0,2008,Summer,Gold,United States,Beijing,Swimming,21.05,
45413,F,25.0,173.0,63.0,2008,Summer,Bronze,United States,Beijing,Swimming,21.05,
45414,F,25.0,173.0,63.0,2008,Summer,Silver,United States,Beijing,Swimming,21.05,
